unit,idx,theme,ja,originalJa,en,ipa,audioUrl,id
2,5,車・修理,何が原因かわかりません。誰かに指摘されるまで、タイヤがパンクしていることに気づきませんでした。,何が原因かわかりません。誰かに言われてパンクしていることに気づきました。,"I’m not sure what caused it. I didn’t realize the tire was flat until someone pointed it out to me.","/aɪm nɑt ʃʊr wʌt kɔzd ɪt. aɪ ˈdɪdənt ˈriəˌlaɪz ðə ˈtaɪɚ wəz flæt ənˈtɪl ˈsʌmwʌn ˈpɔɪntɪd ɪt aʊt tə mi/",https://www.eight-english.com/wp-content/uploads/2026/03/Im-not-sure-what-caused-it.-I-didnt-realize-the-tire-was-flat-until-someone-pointed-it-out-to-me..wav,phrase_005
2,6,車・修理,こういう場合はどうしたらいいですか？ こういうときって、普通どうするものなんですか？,こういう場合はどうしたらいいですか？みなさんはどうしていますか？,"What should I do in this situation? What do people usually do when this happens?","/wʌt ʃʊd aɪ du ɪn ðɪs ˌsɪtʃuˈeɪʃən? wʌt du ˈpipəl ˈjuʒuəli du wɛn ðɪs ˈhæpənz/",https://www.eight-english.com/wp-content/uploads/2026/03/What-should-I-do-in-this-situation-What-do-people-usually-do-when-this-happens.wav,phrase_006
2,7,車・修理,もしまたパンクしたら、新しいタイヤに交換してもらえますか？,もしまたパンクしたら、新しいタイヤに交換してもらえますか？,"If it goes flat again, could you replace it with a new one?","/ɪf ɪt ɡoʊz flæt əˈɡɛn, kʊd ju rɪˈpleɪs ɪt wɪð ə nu wʌn/",https://www.eight-english.com/wp-content/uploads/2026/03/If-it-goes-flat-again-could-you-replace-it-with-a-new-one.wav,phrase_007
2,8,車・修理,新しいタイヤはいくらくらいしますか？,新しいタイヤはいくらくらいしますか？,About how much does a new tire cost?,/əˈbaʊt haʊ mʌtʃ dʌz ə nu ˈtaɪɚ kɔst/,https://www.eight-english.com/wp-content/uploads/2026/03/About-how-much-does-a-new-tire-cost.wav,phrase_008
2,9,車・修理,お支払いはいくらですか？,今日の修理代はいくらですか？,How much do I owe you?,/haʊ mʌtʃ du aɪ oʊ ju/,https://www.eight-english.com/wp-content/uploads/2026/03/How-much-do-I-owe-you.wav,phrase_009
2,10,車・修理,事故にならなくてよかったです。,事故にならなくてよかったです。,I’m glad it didn’t lead to an accident.,/aɪm ɡlæd ɪt ˈdɪdənt lid tə ən ˈæksɪdənt/,https://www.eight-english.com/wp-content/uploads/2026/03/Im-glad-it-didnt-lead-to-an-accident..wav,phrase_010
3,1,"NZ滞在","ニュージーランドに来るのは今回が初めてです。危険な動物がいないので、子どもたちが安心して暮らせるところが気に入っています。","ニュージーランドは初めて訪れました。危険な生き物がいないので、子どもが安心して暮らせるところが気に入っています。","This is my first time visiting New Zealand. I really like that there are no dangerous animals here, so children can live here safely.","/ðɪs ɪz maɪ fɝst taɪm ˈvɪzɪtɪŋ nu ˈziːlənd. aɪ ˈrɪli laɪk ðæt ðer ɑr noʊ ˈdeɪndʒərəs ˈænɪməlz hɪr, soʊ ˈtʃɪldrən kən lɪv hɪr ˈseɪfli/","./kuyashi-audio/03/03-01.wav","u03_001"
3,2,"NZ滞在","次は、最初に泊まったAirbnbに戻ります。","次の滞在先は、最初に泊まったエアビーに戻ります。","For our next stay, we’re going back to the first Airbnb we stayed at.","/fɔr aʊr nɛkst steɪ, wɪr ˈɡoʊɪŋ bæk tə ðə fɝst ˌerbiˌɛnˈbi wi steɪd æt/","./kuyashi-audio/03/03-02.wav","u03_002"
3,3,"NZ滞在","彼女が「またうちに戻ってきて泊まっていいよ」と言ってくれました。","彼女が「また私たちの家に戻ってきていいよ」と言ってくれました。","She told us, “You can come back and stay at our place again.”","/ʃi toʊld ʌs, ju kən kʌm bæk ən steɪ æt aʊr pleɪs əˈɡɛn/","./kuyashi-audio/03/03-03.wav","u03_003"
3,4,"NZ滞在","あなたの庭がとても恋しいです。（庭に居られなくなるのが残念です）","あなたの庭で過ごせなくなるのがとても寂しいです。","I’ll really miss this garden.","/aɪl ˈrɪli mɪs ðɪs ˈɡɑrdən/","./kuyashi-audio/03/03-04.wav","u03_004"
3,5,"NZ滞在","私が壊してしまったフライパンのことが少し気になっています。どうすればいいでしょうか？","私が壊してしまったフライパンのことが気になっています。どうしたらいいでしょうか？","I’m a bit concerned about the frying pan I broke. What should I do?","/aɪm ə bɪt kənˈsɝnd əˈbaʊt ðə ˈfraɪɪŋ pæn aɪ broʊk. wʌt ʃʊd aɪ du/","./kuyashi-audio/03/03-05.wav","u03_005"
3,6,"NZ滞在","わざとやったわけではありません。いつも通りに使っていただけです。","故意にやったわけではありません。普段通り使っていただけです。","I didn’t do it on purpose. I was just using it normally.","/aɪ ˈdɪdənt du ɪt ɑn ˈpɝpəs. aɪ wəz dʒʌst ˈjuzɪŋ ɪt ˈnɔrməli/","./kuyashi-audio/03/03-06.wav","u03_006"
3,7,"NZ滞在","はっきりしたことは言えないのですが、アジア人に対する微妙な差別のようなものを感じています。","はっきりとした理由はないのですが、アジア人に対する微かな差別を感じています。","I can’t point to anything specific, but I do feel there’s some subtle discrimination against Asians.","/aɪ kænt pɔɪnt tu ˈɛnɪˌθɪŋ spəˈsɪfɪk, bət aɪ du fil ðerz sʌm ˈsʌtəl dɪˌskrɪməˈneɪʃən əˈɡɛnst ˈeɪʒənz/","./kuyashi-audio/03/03-07.wav","u03_007"
3,8,"NZ滞在","本当によろしいのでしょうか？あなたのお心遣いに感謝します。","本当によろしいのでしょうか？あなたのお心遣いに感謝します。","Are you sure that’s okay? I really appreciate your kindness.","/ɑr ju ʃʊr ðæts oʊˈkeɪ? aɪ ˈrɪli əˈpriʃieɪt jʊr ˈkaɪndnəs/","./kuyashi-audio/03/03-08.wav","u03_008"
3,9,"NZ滞在","日本にしばらく帰ることにしました。今週末の便で帰ります。","日本に一時帰国することになりました。週末の便で帰ります。","I’ve decided to go back to Japan for a while. I’m flying back this weekend.","/aɪv dɪˈsaɪdəd tə ɡoʊ bæk tə dʒəˈpæn fɔr ə waɪl. aɪm ˈflaɪɪŋ bæk ðɪs ˈwiˌkɛnd/","./kuyashi-audio/03/03-09.wav","u03_009"
3,10,"NZ滞在","はっきりした理由があったわけではないのですが、ただ居心地が良くありませんでした。","特に決定的な理由はないのですが、居心地が良くなかったのです。","There wasn’t a specific reason, but I just didn’t feel comfortable.","/ðer ˈwʌzənt ə spəˈsɪfɪk ˈrizən, bət aɪ dʒʌst ˈdɪdənt fil ˈkʌmfɚtəbəl/","./kuyashi-audio/03/03-10.wav","u03_010"
4,1,"体調・予定","昨日と比べて体調はどう？今日はゆっくり休んでね。","昨日と比べて体調はどう？今日はゆっくり休んでね。","How are you feeling today compared to yesterday? Take it easy and get some rest.","/haʊ ɑr ju ˈfilɪŋ təˈdeɪ kəmˈpɛrd tə ˈjɛstɚdeɪ? teɪk ɪt ˈizi ænd ɡɛt səm rɛst/","./kuyashi-audio/04/04-01.wav","u04_001"
4,2,"体調・予定","寒かったり暑かったり、毎日気温変化が激しいから体調が悪くなっちゃうよね。","寒かったり暑かったり、毎日気温変化が激しいから体調が悪くなっちゃうよね。","Because the temperature changes so much from day to day, it’s easy to get sick.","/bɪˈkʌz ðə ˈtɛmprətʃɚ ˈtʃeɪndʒɪz soʊ mʌtʃ frəm deɪ tə deɪ, ɪts ˈizi tə ɡɛt sɪk/","./kuyashi-audio/04/04-02.wav","u04_002"
4,3,"体調・予定","もし食欲があるようなら、ここのフルーツ食べてね。風邪のときはビタミンが必要だから。","もし食欲があるようなら、ここのフルーツ食べてね。風邪のときはビタミンが必要だから。","If you feel like eating something, please have some of the fruit here. You need vitamins when you’re sick.","/ɪf ju fil laɪk ˈitɪŋ ˈsʌmθɪŋ, pliz hæv səm əv ðə frut hɪr. ju nid ˈvaɪtəmɪnz wɛn jʊr sɪk/","./kuyashi-audio/04/04-03.wav","u04_003"
4,4,"体調・予定","私は美容院に行きます。3時くらいに戻ります。もし何か欲しいものがあったらメッセージ送ってね。","私は美容院に行きます。3時くらいに戻ります。もし何か欲しいものがあったらメッセージ送ってね。","I’m going to the hair salon. I’ll be back around 3. Message me if you need anything.","/aɪm ˈɡoʊɪŋ tə ðə hɛr səˈlɑn. aɪl bi bæk əˈraʊnd θri. ˈmɛsɪdʒ mi ɪf ju nid ˈɛniˌθɪŋ/","./kuyashi-audio/04/04-04.wav","u04_004"
4,5,"体調・予定","お風呂の水が茶色いの。大雨が続いてるからかもしれないね。念のためお知らせしておきます。","お風呂の水が茶色いの。大雨が続いてるからかもしれないね。念のためお知らせしておきます。","The bath water is brown. It might be due to the heavy rain. I just wanted to let you know.","/ðə bæθ ˈwɔtɚ ɪz braʊn. ɪt maɪt bi du tə ðə ˈhɛvi reɪn. aɪ dʒʌst ˈwɑntɪd tə lɛt ju noʊ/","./kuyashi-audio/04/04-05.wav","u04_005"
4,6,"体調・予定","あなたのフライトは金曜の何時？もしよかったら空港まで送って行こうか？","あなたのフライトは金曜の何時？もしよかったら空港まで送って行こうか？","What time is your flight on Friday? I can drive you to the airport if you’d like.","/wʌt taɪm ɪz jʊr flaɪt ɑn ˈfraɪdeɪ? aɪ kən draɪv ju tə ði ˈɛrˌpɔrt ɪf jud laɪk/","./kuyashi-audio/04/04-06.wav","u04_006"
4,7,"体調・予定","もし食欲あるならパスタ食べる？どのくらいの量食べれる？","もし食欲あるならパスタ食べる？どのくらいの量食べれる？","If you’re hungry, would you like some pasta? How much do you think you can eat?","/ɪf jʊr ˈhʌŋɡri, wʊd ju laɪk səm ˈpɑstə? haʊ mʌtʃ du ju θɪŋk ju kən it/","./kuyashi-audio/04/04-07.wav","u04_007"
4,8,"体調・予定","あなたの旦那様もスタイリストなの？手に職があるって素敵ね。世界中どこでも生活できるもの。","あなたの旦那様もスタイリストなの？手に職があるって素敵ね。世界中どこでも生活できるもの。","Is your husband a stylist too? It’s wonderful to have a skill like that. You could live anywhere in the world.","/ɪz jʊr ˈhʌzbənd ə ˈstaɪlɪst tu? ɪts ˈwʌndɚfəl tə hæv ə skɪl laɪk ðæt. ju kʊd lɪv ˈɛniˌwɛr ɪn ðə wɝld/","./kuyashi-audio/04/04-08.wav","u04_008"
4,9,"体調・予定","予定通りオーストラリアに行くの？どのくらいの期間行くんだっけ？","予定通りオーストラリアに行くの？どのくらいの期間行くんだっけ？","Are you still going to Australia as planned? How long are you going for again?","/ɑr ju stɪl ˈɡoʊɪŋ tə ɔˈstreɪliə æz plænd? haʊ lɔŋ ɑr ju ˈɡoʊɪŋ fɔr əˈɡɛn/","./kuyashi-audio/04/04-09.wav","u04_009"
4,10,"体調・予定","日本にはあまりいたくないんです。親戚付き合いが煩わしくて。今はここで1人静かに過ごしたいんです。","日本にはあまりいたくないんです。親戚付き合いが煩わしくて。今はここで1人静かに過ごしたいんです。","I don’t really want to stay in Japan. Dealing with relatives is tiring. For now, I just want to spend some quiet time here on my own.","/aɪ doʊnt ˈrɪli wɑnt tə steɪ ɪn dʒəˈpæn. ˈdilɪŋ wɪð ˈrɛlətɪvz ɪz ˈtaɪrɪŋ. fɔr naʊ, aɪ dʒʌst wɑnt tə spɛnd səm ˈkwaɪət taɪm hɪr ɑn maɪ oʊn/","./kuyashi-audio/04/04-10.wav","u04_010"
